timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1617983313943,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1617983314944,64744,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1617983314944,6807,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1617983314944,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1617983315944,64738,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1617983315944,4769,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1617983315944,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1617983316945,64737,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1617983316945,4197,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1617983316945,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1617983317945,64735,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1617983317945,6842,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1617983317945,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1617983318945,64734,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1617983318945,4684,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1617983318945,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1617983319945,64734,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1617983319945,6783,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1617983319945,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1617983320946,64732,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1617983320946,6237,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1617983320946,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1617983321946,64732,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1617983321946,5358,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1617983321946,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1617983322947,64729,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1617983322947,5070,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1617983322947,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1617983323947,64729,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1617983323947,3711,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1617983323947,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
